"plainTextVote","trackerNumber"
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",36144003
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",74683680
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",91146171
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",21544878
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",88180776
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",67713915
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",46856662
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",26868778
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",83922304
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",37285472
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",87203113
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",59749249
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",18947192
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",49234818
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",47118163
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",76680058
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",81552728
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",42531062
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",28161987
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",53827671
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",69482317
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",88061667
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",98938982
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",58318072
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",59172552
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",13200361
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",13867588
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",56746836
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",44039541
